"player","playerShort","birthday","height","weight","position","club","leagueCountry","refNum","goals","victories","defeats","yellowCards","games","redCards","rater1","rater2"
"Obafemi Martins","obafemi-martins","28.10.1984",176,67,"Center Forward","Levante UD","Spain",1239,2,2,0,2,2,0,1,1
"Oier","oier_2","25.05.1986",178,66,"Right Fullback","CA Osasuna","Spain",1239,0,1,2,1,3,0,0.25,0.25
"Omar Ramos","omar-ramos","26.01.1988",175,65,"Left Midfielder","Real Valladolid","Spain",1239,0,1,3,1,4,0,0,0.25
"Palop","palop","22.10.1973",184,83,"Goalkeeper","Sevilla FC","Spain",1239,0,1,2,0,3,0,0.5,0.25
"Pape Diakhate","pape-diakhate","21.06.1984",181,75,"Center Back","Granada CF","Spain",1239,0,1,2,1,3,0,1,1
"Patrick Ebert","patrick-ebert","17.03.1987",172,68,"Left Midfielder","Real Valladolid","Spain",1239,1,2,1,1,3,0,0,0
"Pedro Lopez","pedro-lopez","01.11.1983",174,72,"Right Fullback","Levante UD","Spain",1239,0,2,4,2,8,0,0.25,0.25
"Pepe","pepe_2","26.02.1983",188,81,"Center Back","Real Madrid","Spain",1239,0,2,0,0,2,0,0.25,0.25
"Piotr Trochowski","piotr-trochowski","22.03.1984",168,73,"Attacking Midfielder","Sevilla FC","Spain",1239,0,2,1,1,3,0,0.25,0.25
"Pique","pique","02.02.1987",192,85,"Center Back","FC Barcelona","Spain",1239,1,5,0,0,6,0,0,0
"Punal","punal","06.09.1975",179,73,"Defensive Midfielder","CA Osasuna","Spain",1239,0,1,4,3,7,0,0.25,0.25
"Radamel Falcao","radamel-falcao","10.02.1986",177,72,"Center Forward","Atletico Madrid","Spain",1239,7,4,1,1,7,0,0.5,0.25
"Ramalho","ramalho_4","10.06.1993",181,68,"Center Back","Athletic Bilbao","Spain",1239,0,0,1,0,2,0,0.5,0.75
"Raphael Varane","raphael-varane","25.04.1993",191,78,"Center Back","Real Madrid","Spain",1239,0,4,0,0,5,0,0.5,0.5
"Raul Albiol","raul-albiol","04.09.1985",190,82,"Center Back","Real Madrid","Spain",1239,0,3,0,1,4,0,0,0
"Reyes","reyes","01.09.1983",176,73,"Left Midfielder","Sevilla FC","Spain",1239,0,2,3,0,6,0,0,0.25
"Ricardo Carvalho","ricardo-carvalho","18.05.1978",182,79,"Center Back","Real Madrid","Spain",1239,0,2,0,2,3,0,0.25,0.25
"Riki","riki","11.08.1980",187,84,"Center Forward","Deportivo La Coruna","Spain",1239,0,0,2,0,2,0,0,0
"Roberto","roberto_11","25.01.1979",181,78,"Goalkeeper","Granada CF","Spain",1239,0,1,4,0,5,0,0.25,0.5
"Romaric","romaric","04.06.1983",187,88,"Defensive Midfielder","Real Zaragoza","Spain",1239,2,4,0,1,5,0,0.75,0.75
"Ruben Castro","ruben-castro","27.06.1981",172,69,"Right Winger","Real Betis","Spain",1239,3,1,4,1,8,0,0.25,0.25
"Ruben Perez","ruben-perez_2","26.04.1989",178,72,"Defensive Midfielder","Real Betis","Spain",1239,0,1,1,1,2,0,0.25,0.25
"Salva Sevilla","salva-sevilla","18.03.1984",178,70,"Attacking Midfielder","Real Betis","Spain",1239,1,0,5,4,9,0,0.25,0.25
"Santi Cazorla","santi-cazorla","13.12.1984",168,66,"Right Midfielder","Arsenal FC","England",1239,0,2,1,0,5,0,0.25,0.25
"Sergio Escudero","sergio-escudero_3","02.09.1989",176,67,"Left Fullback","FC Schalke 04","Germany",1239,0,3,2,2,5,0,0,0.25
"Sergio Garcia","sergio-garcia","09.06.1983",174,72,"Center Forward","Espanyol Barcelona","Spain",1239,0,5,2,2,8,0,0.25,0.25
"Sergio Sanchez","sergio-sanchez_2","03.04.1986",185,76,"Right Fullback","Malaga CF","Spain",1239,0,0,1,0,1,0,0.25,0.25
"Sergio Tejera","sergio-tejera","28.05.1990",180,75,"Attacking Midfielder","Espanyol Barcelona","Spain",1239,0,0,1,0,2,0,0.5,0.5
"Stephane Mbia","stephane-mbia","20.05.1986",189,82,"Defensive Midfielder","Queens Park Rangers","England",1239,0,1,0,0,1,0,1,0.75
"Thiago","thiago_17","11.04.1991",172,71,"Attacking Midfielder","FC Barcelona","Spain",1239,0,4,0,0,5,0,0.5,0.5
"Thibaut Courtois","thibaut-courtois","11.05.1992",199,88,"Goalkeeper","Atletico Madrid","Spain",1239,0,6,1,0,9,0,0.25,0.25
"Tiago","tiago_3","02.05.1981",183,71,"Attacking Midfielder","Atletico Madrid","Spain",1239,1,5,0,0,6,0,0,0
"Toni Doblas","toni-doblas","05.08.1980",184,78,"Goalkeeper","Real Zaragoza","Spain",1239,0,1,1,0,2,0,0.25,0.25
"Tono","tono","17.12.1979",182,82,"Goalkeeper","Granada CF","Spain",1239,0,0,5,0,6,0,0,0
"Toquero","toquero","09.08.1984",182,79,"Center Forward","Athletic Bilbao","Spain",1239,0,3,3,2,9,0,0,0.25
"Valera","valera","21.12.1984",184,76,"Right Fullback","Getafe CF","Spain",1239,0,1,1,0,3,0,0.25,0.25
"Victor Alvarez","victor-alvarez","14.03.1993",178,69,"Left Fullback","Espanyol Barcelona","Spain",1239,0,1,1,0,2,1,0.25,0
"Victor Sanchez","victor-sanchez","08.09.1987",174,73,"Defensive Midfielder","Espanyol Barcelona","Spain",1239,1,4,1,1,6,1,0.25,0.25
"Victor","victor_12","28.02.1985",180,77,"Center Forward","RCD Mallorca","Spain",1239,1,1,3,0,4,0,0,0.25
"Wakaso Mubarak","wakaso-mubarak","25.07.1990",171,72,"Left Midfielder","Espanyol Barcelona","Spain",1239,0,0,0,1,3,1,1,1
"Xabi Alonso","xabi-alonso","25.11.1981",183,77,"Defensive Midfielder","Real Madrid","Spain",1239,0,4,0,3,5,0,0.25,0.25
"Xabi Prieto","xabi-prieto","29.08.1983",186,76,"Right Midfielder","Real Sociedad","Spain",1239,5,4,4,1,11,0,0.25,0.25
"Youssef El-Arabi","youssef-el-arabi","03.02.1987",180,75,"Center Forward","Granada CF","Spain",1239,1,0,4,1,4,0,0.5,0.75
"Zubikarai","zubikarai","26.02.1984",185,84,"Goalkeeper","Real Sociedad","Spain",1239,0,0,1,0,1,1,0,0
"Adrian Mutu","adrian-mutu","08.01.1979",180,74,"Left Winger","AC Ajaccio","France",1240,2,1,0,0,1,0,0.25,0.25
"Alejandro Dominguez","alejandro-dominguez_2","10.06.1981",175,73,"Right Winger","Rayo Vallecano","Spain",1240,1,3,3,1,7,0,0.25,0.25
"Anatoliy Tymoshchuk","anatoliy-tymoshchuk","30.03.1979",181,75,"Defensive Midfielder","Bayern Munchen","Germany",1240,2,4,4,2,9,0,0.25,0.25
"Andriy Voronin","andriy-voronin","21.07.1979",174,81,"Center Forward","Fortuna Dusseldorf","Germany",1240,0,2,3,3,8,0,0,0
"Anthony Annan","anthony-annan","21.07.1986",175,64,"Defensive Midfielder","CA Osasuna","Spain",1240,0,0,1,0,1,0,1,1
"Artur Sobiech","artur-sobiech","12.06.1990",185,81,"Center Forward","Hannover 96","Germany",1240,0,0,1,0,1,0,0.25,0
"Bacary Sagna","bacary-sagna","14.02.1983",176,72,"Right Fullback","Arsenal FC","England",1240,0,1,0,0,1,0,1,1
"Franck Ribery","franck-ribery","07.04.1983",170,72,"Left Midfielder","Bayern Munchen","Germany",1240,0,1,0,0,1,0,0.25,0.25
"Francois Clerc","francois-clerc","18.04.1983",186,77,"Right Fullback","AS Saint-Etienne","France",1240,0,1,0,0,1,0,0,0
"Jimmy Briand","jimmy-briand","02.08.1985",180,74,"Center Forward","Olympique Lyon","France",1240,0,1,0,1,1,0,0.5,0.75
"Marko Basa","marko-basa","29.12.1982",189,75,"Center Back","Lille OSC","France",1240,0,2,3,1,5,0,0.25,0.25
"Martin Stranzl","martin-stranzl","16.06.1980",190,83,"Center Back","Bor. Monchengladbach","Germany",1240,1,3,0,1,4,0,0.25,0.25
"Mickael Landreau","mickael-landreau","14.05.1979",184,80,"Goalkeeper","Lille OSC","France",1240,0,1,0,0,1,0,0,0.25
"Obafemi Martins","obafemi-martins","28.10.1984",176,67,"Center Forward","Levante UD","Spain",1240,0,0,1,0,1,0,1,1
"Oscar Wendt","oscar-wendt","24.10.1985",181,82,"Left Fullback","Bor. Monchengladbach","Germany",1240,0,0,1,0,1,0,0,0
"Simon Jentzsch","simon-jentzsch","04.05.1976",196,96,"Goalkeeper","FC Augsburg","Germany",1240,0,1,0,0,1,0,0.25,0.25
"Szabolcs Huszti","szabolcs-huszti","18.04.1983",173,72,"Right Midfielder","Hannover 96","Germany",1240,0,1,0,0,4,0,0,0
"Vurnon Anita","vurnon-anita","04.04.1989",166,63,"Defensive Midfielder","Newcastle United","England",1240,0,1,0,0,1,0,1,1
"Yossi Benayoun","yossi-benayoun","05.05.1980",178,70,"Attacking Midfielder","West Ham United","England",1240,1,1,0,0,1,0,0.25,0.25
"Anatoliy Tymoshchuk","anatoliy-tymoshchuk","30.03.1979",181,75,"Defensive Midfielder","Bayern Munchen","Germany",1241,0,1,0,0,1,0,0.25,0.25
"Anton Putsila","anton-putsila","10.06.1987",180,74,"Center Midfielder","SC Freiburg","Germany",1241,0,1,1,2,3,0,0,0.25
"Patrick Ebert","patrick-ebert","17.03.1987",172,68,"Left Midfielder","Real Valladolid","Spain",1241,0,0,1,0,1,0,0,0
"Wakaso Mubarak","wakaso-mubarak","25.07.1990",171,72,"Left Midfielder","Espanyol Barcelona","Spain",1241,0,1,1,1,2,0,1,1
"Yann M'Vila","yann-mvila","26.06.1990",169,56,"Defensive Midfielder","Stade Rennes","France",1241,0,0,1,1,1,0,0.5,0.5
"Ivan Santini","ivan-santini","21.05.1989",190,84,"Center Forward","SC Freiburg","Germany",1244,0,0,1,0,1,0,0.25,0
"Mario Mandzukic","mario-mandzukic","21.05.1986",187,84,"Center Forward","Bayern Munchen","Germany",1244,1,2,0,0,3,0,0.25,0.25
"Mensur Mujdza","mensur-mujdza","28.03.1984",185,77,"Right Fullback","SC Freiburg","Germany",1244,0,1,1,0,2,0,0.25,0.25
"Pape Diakhate","pape-diakhate","21.06.1984",181,75,"Center Back","Granada CF","Spain",1247,0,0,0,0,1,0,1,1
"Alejandro Dominguez","alejandro-dominguez_2","10.06.1981",175,73,"Right Winger","Rayo Vallecano","Spain",1253,2,2,0,2,2,0,0.25,0.25
"Anatoliy Tymoshchuk","anatoliy-tymoshchuk","30.03.1979",181,75,"Defensive Midfielder","Bayern Munchen","Germany",1253,0,0,1,0,1,0,0.25,0.25
"Djiby Fall","djiby-fall","20.04.1985",187,75,"Center Forward","SpVgg Greuther Furth","Germany",1253,0,0,1,0,1,0,1,1
"Marko Basa","marko-basa","29.12.1982",189,75,"Center Back","Lille OSC","France",1253,0,1,0,1,1,0,0.25,0.25
"Szabolcs Huszti","szabolcs-huszti","18.04.1983",173,72,"Right Midfielder","Hannover 96","Germany",1253,1,1,1,0,2,0,0,0
"Alejandro Dominguez","alejandro-dominguez_2","10.06.1981",175,73,"Right Winger","Rayo Vallecano","Spain",1255,0,1,0,0,1,0,0.25,0.25
"Artur Sobiech","artur-sobiech","12.06.1990",185,81,"Center Forward","Hannover 96","Germany",1255,0,1,0,0,1,0,0.25,0
"Camel Meriem","camel-meriem","18.10.1979",174,70,"Attacking Midfielder","OGC Nice","France",1255,0,1,0,1,1,0,0.25,0.25
"Cedric Kante","cedric-kante","06.07.1979",181,77,"Center Back","FC Sochaux","France",1255,0,2,0,0,3,0,0.5,0.5
"Francois Clerc","francois-clerc","18.04.1983",186,77,"Right Fullback","AS Saint-Etienne","France",1255,0,1,0,0,1,0,0,0
"Gaetan Bong","gaetan-bong","25.04.1988",183,74,"Left Fullback","Valenciennes FC","France",1255,0,1,0,0,1,0,0.75,0.75
"Gianni Bruno","gianni-bruno","19.08.1991",180,74,"Center Forward","Lille OSC","France",1255,1,0,0,0,1,0,0.25,0.25
"Giorgios Karagounis","giorgios-karagounis","06.03.1977",176,83,"Attacking Midfielder","Fulham FC","England",1255,1,5,0,0,8,0,0,0
"Koen Casteels","koen-casteels","25.06.1992",196,83,"Goalkeeper","1899 Hoffenheim","Germany",1255,0,0,0,0,1,0,0.25,0.25
"Lukasz Piszczek","lukasz-piszczek","03.06.1985",184,78,"Right Fullback","Borussia Dortmund","Germany",1255,0,1,0,0,1,0,0,0
"Viktor Klonaridis","viktor-klonaridis","28.07.1992",178,70,"Attacking Midfielder","Lille OSC","France",1255,1,0,2,1,2,0,0.25,0.25
"Aristide Bance","aristide-bance","19.09.1984",190,96,"Center Forward","FC Augsburg","Germany",1256,0,0,0,0,1,0,0.75,1
"Aurelien Chedjou","aurelien-chedjou","20.06.1985",184,75,"Center Back","Lille OSC","France",1256,0,0,0,1,1,0,0.75,0.75
"Dorge Kouemaha","dorge-kouemaha","28.06.1983",188,86,"Center Forward","Eintracht Frankfurt","Germany",1256,1,0,1,0,1,0,0.75,1
"Emre Belozoglu","emre-beloezoglu","07.09.1980",170,68,"Center Midfielder","Atletico Madrid","Spain",1256,1,1,0,0,2,0,0.25,0.25
"Hrvoje Cale","hrvoje-cale","04.03.1985",184,74,"Left Fullback","VfL Wolfsburg","Germany",1256,0,1,0,0,1,0,0,0.25
"Pape Diakhate","pape-diakhate","21.06.1984",181,75,"Center Back","Granada CF","Spain",1256,0,1,0,0,1,0,1,1
"Abdoulwhaid Sissoko","abdoulwhaid-sissoko","20.03.1990",180,68,"Defensive Midfielder","Stade Brest","France",1261,0,0,2,0,2,0,1,1
"Abel Aguilar","abel-aguilar","06.01.1985",185,78,"Defensive Midfielder","Deportivo La Coruna","Spain",1261,0,2,0,0,3,0,0.5,0.25
"Alex Lopez","alex-lopez","11.01.1988",174,66,"Center Midfielder","Celta Vigo","Spain",1261,0,2,1,1,3,0,0.25,0.25
"Andres Tunez","andres-tunez","15.03.1987",187,83,"Center Back","Celta Vigo","Spain",1261,0,2,1,0,3,0,0.25,0.25
"Aranda","aranda","27.07.1980",184,82,"Center Forward","Real Zaragoza","Spain",1261,0,0,1,0,2,0,0.25,0.25
"Aranzubia","aranzubia","18.09.1979",184,80,"Goalkeeper","Deportivo La Coruna","Spain",1261,0,1,0,0,1,0,0,0
"Bartra","bartra","15.01.1991",183,70,"Center Back","FC Barcelona","Spain",1261,0,0,0,0,1,0,0,0
"Bellvis","bellvis","24.04.1985",178,72,"Left Midfielder","Celta Vigo","Spain",1261,0,1,0,0,2,0,0.25,0.25
"Bueno","bueno","20.03.1988",178,64,"Center Forward","Real Valladolid","Spain",1261,0,2,0,0,2,0,0.25,0.25
"Castillo","castillo_8","29.03.1986",182,71,"Left Fullback","Athletic Bilbao","Spain",1261,0,0,1,0,1,0,0,0
"Cristian Bustos","cristian-bustos","29.05.1983",177,73,"Defensive Midfielder","Celta Vigo","Spain",1261,0,4,1,1,5,0,0.25,0.5
"Cristian Tello","cristian-tello","11.08.1991",178,65,"Left Winger","FC Barcelona","Spain",1261,1,0,0,0,1,0,0.25,0.25
"De Lucas","de-lucas","17.08.1978",175,68,"Attacking Midfielder","Celta Vigo","Spain",1261,0,2,2,0,4,0,0.5,0.25
"Diego Colotto","diego-colotto","10.03.1981",184,83,"Center Back","Espanyol Barcelona","Spain",1261,0,1,0,0,1,0,0.25,0.25
"Fabian Orellana","fabian-orellana","27.01.1986",169,70,"Right Winger","Granada CF","Spain",1261,1,2,1,0,3,0,0.5,0.5
"Jaime","jaime_11","10.12.1980",188,80,"Goalkeeper","Real Valladolid","Spain",1261,0,2,0,0,2,0,0,0
"Javi Guerra","javi-guerra","15.03.1983",179,77,"Center Forward","Real Valladolid","Spain",1261,3,2,0,0,2,0,0,0.25
"Joan Tomas","joan-tomas","17.05.1985",167,70,"Left Winger","Celta Vigo","Spain",1261,0,2,1,1,3,0,0.25,0.25
"Jonathan dos Santos","jonathan-dos-santos","26.04.1990",172,74,"Center Midfielder","FC Barcelona","Spain",1261,0,0,1,0,2,0,0.5,0.5
"Juanfran","juanfran_4","11.09.1988",179,72,"Right Winger","Real Madrid","Spain",1261,0,0,2,0,2,0,0.5,0.75
"Juanmi","juanmi_4","20.05.1993",170,63,"Center Forward","Malaga CF","Spain",1261,0,1,1,0,2,0,0.25,0.5
"Manuel Iturra","manuel-iturra","23.06.1984",174,65,"Defensive Midfielder","Malaga CF","Spain",1261,0,0,1,1,1,0,0,0
"Manuel Pablo","manuel-pablo","25.01.1976",176,80,"Right Fullback","Deportivo La Coruna","Spain",1261,0,0,2,1,2,0,0.5,0.25
"Martin Montoya","martin-montoya","14.04.1991",174,74,"Right Fullback","FC Barcelona","Spain",1261,0,0,0,0,1,0,0.25,0.5
"Michel","michel_15","29.07.1988",180,73,"Center Midfielder","Levante UD","Spain",1261,1,2,0,1,3,0,0.25,0.25
"Nano","nano","20.04.1982",186,80,"Left Fullback","CA Osasuna","Spain",1261,0,1,1,0,2,0,0.25,0.5
"Oier","oier_2","25.05.1986",178,66,"Right Fullback","CA Osasuna","Spain",1261,0,2,1,1,3,0,0.25,0.25
"Pablo Insua","pablo-insua","09.09.1993",186,76,"Center Back","Deportivo La Coruna","Spain",1261,0,0,2,2,2,0,0,0
"Ramalho","ramalho_4","10.06.1993",181,68,"Center Back","Athletic Bilbao","Spain",1261,0,1,0,0,1,0,0.5,0.75
"Raul","raul_10","13.03.1988",196,86,"Goalkeeper","Athletic Bilbao","Spain",1261,0,1,0,1,1,0,0,0
"Riki","riki","11.08.1980",187,84,"Center Forward","Deportivo La Coruna","Spain",1261,0,1,0,0,1,0,0,0
"Salva Ruiz","salva-ruiz","17.05.1995",175,70,"Left Fullback","Valencia CF","Spain",1261,0,1,0,0,1,0,0.25,0.25
"Toni","toni_12","04.04.1990",175,69,"Left Midfielder","Celta Vigo","Spain",1261,0,1,1,0,2,0,0.25,0.25
"Valeron","valeron","17.06.1975",180,72,"Attacking Midfielder","Deportivo La Coruna","Spain",1261,1,2,1,0,4,0,0,0.25
"Victor","victor_12","28.02.1985",180,77,"Center Forward","RCD Mallorca","Spain",1261,0,0,1,0,1,0,0,0.25
"Leon Balogun","leon-balogun","28.06.1988",190,81,"Center Back","Fortuna Dusseldorf","Germany",1265,0,0,0,0,1,0,0.25,0.5
"Arthur Boka","arthur-boka","02.04.1983",166,67,"Left Fullback","VfB Stuttgart","Germany",1266,0,0,0,0,1,0,1,1
"Gervinho","gervinho","27.05.1987",179,68,"Right Winger","Arsenal FC","England",1266,0,0,0,0,1,0,0.75,0.75
"Alejandro Dominguez","alejandro-dominguez_2","10.06.1981",175,73,"Right Winger","Rayo Vallecano","Spain",1267,0,1,0,0,1,0,0.25,0.25
"Viktor Klonaridis","viktor-klonaridis","28.07.1992",178,70,"Attacking Midfielder","Lille OSC","France",1267,1,0,0,0,1,0,0.25,0.25
"Giorgios Karagounis","giorgios-karagounis","06.03.1977",176,83,"Attacking Midfielder","Fulham FC","England",1269,0,1,0,0,1,0,0,0
"Sokratis Papastathopoulos","sokratis-papastathopoulos","09.06.1988",185,82,"Center Back","Werder Bremen","Germany",1269,0,1,0,0,1,0,0.25,0.25
"Sotirios Kyrgiakos","sotirios-kyrgiakos","23.07.1979",193,88,"Center Back","VfL Wolfsburg","Germany",1269,0,0,0,0,1,0,0.25,0.25
"Clint Dempsey","clint-dempsey","09.03.1983",185,77,"Attacking Midfielder","Tottenham Hotspur","England",1270,1,0,1,0,1,0,0,0.25
"Maurice Edu","maurice-edu","18.04.1986",183,85,"Defensive Midfielder","Stoke City","England",1270,0,0,0,0,1,0,0.75,1
"Obafemi Martins","obafemi-martins","28.10.1984",176,67,"Center Forward","Levante UD","Spain",1270,0,0,1,0,1,0,1,1
"Gaetan Bong","gaetan-bong","25.04.1988",183,74,"Left Fullback","Valenciennes FC","France",1271,0,1,0,0,1,0,0.75,0.75
"Viktor Klonaridis","viktor-klonaridis","28.07.1992",178,70,"Attacking Midfielder","Lille OSC","France",1271,0,1,0,0,1,0,0.25,0.25
"Constant Djakpa","constant-djakpa","17.10.1986",177,71,"Left Fullback","Eintracht Frankfurt","Germany",1273,0,1,0,1,2,0,1,1
"Adrian","adrian_7","21.05.1983",188,82,"Goalkeeper","SD Compostela","Spain",1281,0,0,0,0,1,0,0.25,0.25
"Adrian Mutu","adrian-mutu","08.01.1979",180,74,"Left Winger","AC Ajaccio","France",1283,0,0,0,0,1,0,0.25,0.25
"Alvaro","alvaro_10","27.04.1991",182,71,"Center Forward","Getafe CF","Spain",1283,0,1,0,0,1,0,0,0.25
"Bartra","bartra","15.01.1991",183,70,"Center Back","FC Barcelona","Spain",1283,0,1,0,0,1,0,0,0
"Constant Djakpa","constant-djakpa","17.10.1986",177,71,"Left Fullback","Eintracht Frankfurt","Germany",1283,0,0,1,0,1,0,1,1
"Ioannis Gelios","ioannis-gelios","24.04.1992",190,76,"Goalkeeper","FC Augsburg","Germany",1283,0,0,1,0,1,0,0,0
"Juan Carlos","juan-carlos_11","30.03.1990",176,68,"Left Midfielder","Real Betis","Spain",1283,0,1,0,0,1,0,0.25,0.25
"Oriol Romeu","oriol-romeu","24.09.1991",182,79,"Defensive Midfielder","Chelsea FC","England",1283,0,1,0,0,1,0,0.25,0.25
"Adam Pinter","adam-pinter","12.06.1988",190,76,"Center Back","Real Zaragoza","Spain",1294,0,0,0,0,1,0,0,0
"Anatoliy Tymoshchuk","anatoliy-tymoshchuk","30.03.1979",181,75,"Defensive Midfielder","Bayern Munchen","Germany",1294,0,1,0,0,1,0,0.25,0.25
"Ashley Cole","ashley-cole","20.12.1980",170,67,"Left Fullback","Chelsea FC","England",1294,0,1,0,0,1,0,0.5,0.5
"Brad Jones","brad-jones","19.03.1982",193,79,"Goalkeeper","Liverpool FC","England",1294,0,1,0,1,1,0,0,0
"Christian Benteke","christian-benteke","03.12.1990",190,83,"Center Forward","Aston Villa","England",1294,1,1,0,0,1,0,0.75,0.75
"Didier Digard","didier-digard","12.07.1986",184,81,"Defensive Midfielder","OGC Nice","France",1294,0,0,1,0,1,0,0,0
"Gianni Bruno","gianni-bruno","19.08.1991",180,74,"Center Forward","Lille OSC","France",1294,1,1,0,0,1,0,0.25,0.25
"Igor de Camargo","igor-de-camargo","12.05.1983",187,83,"Center Forward","Bor. Monchengladbach","Germany",1294,0,0,0,0,1,0,0.5,0.5
"Jordan Henderson","jordan-henderson","17.06.1990",182,67,"Right Midfielder","Liverpool FC","England",1294,0,1,0,1,1,0,0,0.25
"Jose Enrique","jose-enrique","23.01.1986",184,82,"Left Fullback","Liverpool FC","England",1294,0,1,0,0,1,0,0,0
"Leighton Baines","leighton-baines","11.12.1984",170,74,"Left Fullback","Everton FC","England",1294,0,1,0,0,1,0,0.25,0.25
"Loic Remy","loic-remy","02.01.1987",184,66,"Right Winger","Olympique Marseille","France",1294,0,0,0,1,1,0,0.5,0.75
"Lukas Rupp","lukas-rupp","08.01.1991",178,73,"Right Winger","Bor. Monchengladbach","Germany",1294,0,0,0,0,1,0,0.25,0.25
"Oscar Wendt","oscar-wendt","24.10.1985",181,82,"Left Fullback","Bor. Monchengladbach","Germany",1294,0,0,0,0,1,0,0,0
"Patrick Herrmann","patrick-herrmann_2","12.02.1991",179,69,"Left Midfielder","Bor. Monchengladbach","Germany",1294,0,0,0,1,1,0,0,0.25
"Peniel Mlapa","peniel-mlapa","20.02.1991",195,89,"Center Forward","Bor. Monchengladbach","Germany",1294,0,0,0,1,1,0,0.75,1
"Phil Jagielka","phil-jagielka","17.08.1982",180,83,"Center Back","Everton FC","England",1294,0,1,0,0,1,0,0.25,0.25
"Roel Brouwers","roel-brouwers","28.11.1981",192,81,"Center Back","Bor. Monchengladbach","Germany",1294,0,0,0,1,1,0,0,0
"Steve Mandanda","steve-mandanda","28.03.1985",185,82,"Goalkeeper","Olympique Marseille","France",1294,0,0,0,0,1,0,0.75,1
"Steven Gerrard","steven-gerrard","30.05.1980",188,83,"Center Midfielder","Liverpool FC","England",1294,1,2,0,0,2,0,0,0
"Theo Walcott","theo-walcott","16.03.1989",170,68,"Center Forward","Arsenal FC","England",1294,0,1,0,0,1,0,0.5,0.5
"Yann M'Vila","yann-mvila","26.06.1990",169,56,"Defensive Midfielder","Stade Rennes","France",1294,0,0,0,0,1,0,0.5,0.5
"Yossi Benayoun","yossi-benayoun","05.05.1980",178,70,"Attacking Midfielder","West Ham United","England",1294,0,0,1,0,1,0,0.25,0.25
"Artur Sobiech","artur-sobiech","12.06.1990",185,81,"Center Forward","Hannover 96","Germany",1304,0,1,1,0,2,0,0.25,0
"Rafael van der Vaart","rafael-van-der-vaart","11.02.1983",176,74,"Attacking Midfielder","Hamburger SV","Germany",1307,0,1,1,0,3,0,0,0.25
"Adrian","adrian_7","21.05.1983",188,82,"Goalkeeper","SD Compostela","Spain",1312,0,1,0,0,1,0,0.25,0.25
"Adam Smith","adam-smith_3","29.04.1991",173,73,"Right Fullback","Millwall FC","England",1321,0,0,0,0,1,0,0,0
"Brad Guzan","brad-guzan","09.09.1984",193,95,"Goalkeeper","Aston Villa","England",1321,0,1,0,0,1,0,0,0
"Bradden Inman","bradden-inman","10.12.1991",176,71,"Attacking Midfielder","Crewe Alexandra","England",1321,1,1,0,0,1,0,0.25,0.25
"Brett Holman","brett-holman","27.03.1984",176,75,"Attacking Midfielder","Aston Villa","England",1321,0,1,0,0,1,0,0,0
"Chris Baird","chris-baird","25.02.1982",186,77,"Defensive Midfielder","Fulham FC","England",1321,0,1,0,0,1,0,0,0
"Chris Gunter","chris-gunter","21.07.1989",180,71,"Right Fullback","Reading FC","England",1321,0,2,0,0,2,0,0.25,0
"Darren Bent","darren-bent","06.02.1984",180,73,"Center Forward","Aston Villa","England",1321,1,1,0,0,1,0,1,1
"David Hoilett","david-hoilett","05.06.1990",173,70,"Right Midfielder","Queens Park Rangers","England",1321,0,0,1,0,1,0,0.75,1
"Dean Whitehead","dean-whitehead","12.01.1982",183,80,"Attacking Midfielder","Stoke City","England",1321,0,0,1,1,1,0,0,0.25
"Emmerson Boyce","emmerson-boyce","24.09.1979",183,78,"Center Back","Wigan Athletic","England",1321,0,2,0,0,2,0,1,1
"Jean Beausejour","jean-beausejour","01.06.1984",178,81,"Left Midfielder","Wigan Athletic","England",1321,0,1,0,0,1,0,0.5,0.5
"Jermaine Jenas","jermaine-jenas","18.02.1983",179,76,"Center Midfielder","Nottingham Forest","England",1321,0,1,0,0,1,0,0.25,0.25
"Jermaine Pennant","jermaine-pennant","15.01.1983",173,64,"Right Midfielder","Wolverhampton Wanderers","England",1321,0,0,1,0,1,0,0.5,0.5
"Luke Young","luke-young","19.07.1979",183,78,"Right Fullback","Queens Park Rangers","England",1321,0,0,1,0,1,0,0.25,0.25
"Matthew Upson","matthew-upson","18.04.1979",185,72,"Center Back","Stoke City","England",1321,0,0,1,0,2,0,0,0.25
"Robert Green","robert-green","19.01.1980",188,77,"Goalkeeper","Queens Park Rangers","England",1321,0,1,1,0,2,0,0.25,0.25
"Ryan McLaughlin","ryan-mclaughlin_2","30.09.1994",183,75,"Right Fullback","Liverpool FC","England",1321,0,0,1,0,1,0,0,0
"Sebastien Bassong","sebastien-bassong","09.07.1986",187,84,"Center Back","Norwich City","England",1321,0,1,0,0,1,0,1,1
"Yossi Benayoun","yossi-benayoun","05.05.1980",178,70,"Attacking Midfielder","West Ham United","England",1321,0,0,1,0,1,0,0.25,0.25
"Adam Johnson","adam-johnson","14.07.1987",175,62,"Left Midfielder","Sunderland AFC","England",1323,0,0,1,0,1,0,0,0
"Adam Smith","adam-smith_3","29.04.1991",173,73,"Right Fullback","Millwall FC","England",1323,0,5,1,2,7,0,0,0
"Alex Nimely-Tchuimeni","alex-nimely-tchuimeni","11.05.1991",180,72,"Center Forward","Manchester City","England",1323,0,0,0,1,1,0,0.75,1
"Brad Guzan","brad-guzan","09.09.1984",193,95,"Goalkeeper","Aston Villa","England",1323,0,0,0,0,1,0,0,0
